date,tc,rh,ws,wd,code,name
2014-10-01 00:00:00,NA,NA,NA,NA,248,NA
2014-10-01 01:00:00,22.3,81,0.8,27,248,Catanduva
2014-10-01 02:00:00,21.7,84,0.9,235,248,Catanduva
2014-10-01 03:00:00,21.5,84,0.8,268,248,Catanduva
2014-10-01 04:00:00,20.8,88,0.6,116,248,Catanduva
2014-10-01 05:00:00,20.6,89,0.6,49,248,Catanduva
2014-10-01 06:00:00,20.9,89,0,777,248,Catanduva
2014-10-01 07:00:00,21,88,0.8,111,248,Catanduva
2014-10-01 08:00:00,22.8,81,0.9,134,248,Catanduva
2014-10-01 09:00:00,26.5,61,1.6,149,248,Catanduva
2014-10-01 10:00:00,25.6,65,3.7,147,248,Catanduva
2014-10-01 11:00:00,28.1,56,3.9,145,248,Catanduva
2014-10-01 12:00:00,29.5,50,3.9,141,248,Catanduva
2014-10-01 13:00:00,30.6,46,3.7,127,248,Catanduva
2014-10-01 14:00:00,32,43,2.9,107,248,Catanduva
2014-10-01 15:00:00,32.5,40,1.9,107,248,Catanduva
2014-10-01 16:00:00,32.6,40,2,171,248,Catanduva
2014-10-01 17:00:00,31.4,43,2.5,195,248,Catanduva
2014-10-01 18:00:00,25.7,61,6.1,223,248,Catanduva
2014-10-01 19:00:00,23.9,72,2.6,221,248,Catanduva
2014-10-01 20:00:00,24.3,72,2.5,132,248,Catanduva
2014-10-01 21:00:00,24.3,66,3.1,154,248,Catanduva
2014-10-01 22:00:00,24.2,67,1.5,106,248,Catanduva
2014-10-01 23:00:00,23.7,72,0.8,131,248,Catanduva
2014-10-02 00:00:00,23,75,1.4,176,248,Catanduva
2014-10-02 01:00:00,22.6,78,2.6,161,248,Catanduva
2014-10-02 02:00:00,22.3,81,3.7,141,248,Catanduva
2014-10-02 03:00:00,21.3,77,4.1,133,248,Catanduva
2014-10-02 04:00:00,20.5,76,3.9,136,248,Catanduva
2014-10-02 05:00:00,19.7,75,4.2,136,248,Catanduva
2014-10-02 06:00:00,19.3,76,3.8,132,248,Catanduva
2014-10-02 07:00:00,19.2,76,3.8,131,248,Catanduva
2014-10-02 08:00:00,20.1,73,4.5,134,248,Catanduva
2014-10-02 09:00:00,22.4,63,4.8,129,248,Catanduva
2014-10-02 10:00:00,24.3,57,4.4,129,248,Catanduva
2014-10-02 11:00:00,26.5,50,4.6,133,248,Catanduva
2014-10-02 12:00:00,27.8,46,4.2,136,248,Catanduva
2014-10-02 13:00:00,28.2,44,4.2,135,248,Catanduva
2014-10-02 14:00:00,29.1,41,4,137,248,Catanduva
2014-10-02 15:00:00,29.8,39,3.9,135,248,Catanduva
2014-10-02 16:00:00,30.1,37,4.1,143,248,Catanduva
2014-10-02 17:00:00,29.5,37,4.6,148,248,Catanduva
2014-10-02 18:00:00,27.5,41,5.1,145,248,Catanduva
2014-10-02 19:00:00,24.5,49,4.9,143,248,Catanduva
2014-10-02 20:00:00,22.6,53,5.5,142,248,Catanduva
2014-10-02 21:00:00,20.7,59,6.4,139,248,Catanduva
2014-10-02 22:00:00,18.9,65,5.6,138,248,Catanduva
2014-10-02 23:00:00,17.6,67,5.8,135,248,Catanduva
2014-10-03 00:00:00,16.8,68,5.8,133,248,Catanduva
2014-10-03 01:00:00,16.2,68,5.3,132,248,Catanduva
2014-10-03 02:00:00,15.7,70,4.7,129,248,Catanduva
2014-10-03 03:00:00,15.3,71,4.6,125,248,Catanduva
2014-10-03 04:00:00,14.9,72,4,128,248,Catanduva
2014-10-03 05:00:00,14.4,74,3.4,133,248,Catanduva
2014-10-03 06:00:00,14,75,3.1,132,248,Catanduva
2014-10-03 07:00:00,14.4,73,3.2,135,248,Catanduva
2014-10-03 08:00:00,16.3,65,4.3,125,248,Catanduva
2014-10-03 09:00:00,18.5,58,5.1,117,248,Catanduva
2014-10-03 10:00:00,21.5,50,5.5,103,248,Catanduva
2014-10-03 11:00:00,23.8,44,5.2,106,248,Catanduva
2014-10-03 12:00:00,25.7,40,4.5,115,248,Catanduva
2014-10-03 13:00:00,27.2,35,4.5,117,248,Catanduva
2014-10-03 14:00:00,28.5,31,4.7,111,248,Catanduva
2014-10-03 15:00:00,29.4,28,4.1,123,248,Catanduva
2014-10-03 16:00:00,29.5,25,4.1,128,248,Catanduva
2014-10-03 17:00:00,29,25,4,127,248,Catanduva
2014-10-03 18:00:00,27.4,30,4.3,138,248,Catanduva
2014-10-03 19:00:00,24.5,38,4.3,145,248,Catanduva
2014-10-03 20:00:00,22.1,45,4.9,140,248,Catanduva
2014-10-03 21:00:00,20.4,49,5.3,140,248,Catanduva
2014-10-03 22:00:00,18.5,55,4.7,135,248,Catanduva
2014-10-03 23:00:00,17.1,60,4.5,133,248,Catanduva
2014-10-04 00:00:00,16,64,4.9,135,248,Catanduva
