name,code,lat,lon,x,y
Cambuci,90,-23.5677084050662,-46.612272856135796,41,53
Capão Redondo,269,-23.6683561456718,-46.7800433836767,24,42
Carapicuíba,263,-23.5313950283077,-46.8357797276639,18,57
Centro,94,-23.547806159703697,-46.6424144996321,38,55
Cerqueira César,91,-23.5535425616777,-46.6727047692529,34,55
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.73741428195189,28,53
Congonhas,73,-23.616320078818198,-46.66346552737021,35,48
Cubatão-Centro,87,-23.8790267306876,-46.418483361896,60,18
Cubatão-V.Parisi,66,-23.849416169959103,-46.3886762431427,63,22
Cubatão-Vale do Mogi,119,-23.831589008125402,-46.3695687908739,65,24
Diadema,92,-23.6858764117137,-46.611621932375094,41,40
Grajaú-Parelheiros,98,-23.776265984399,-46.69696107836571,32,30
Guarulhos,118,-23.463209382964898,-46.4962135994365,52,65
Guarulhos-Paço Municipal,264,-23.455534258102304,-46.5185334030574,50,66
Guarulhos-Pimentas,279,-23.4401170078091,-46.40994877100061,61,67
Ibirapuera,83,-23.591841990137898,-46.6606875025418,36,50
Interlagos,262,-23.6805076511499,-46.6750431583082,34,41
Itaim Paulista,266,-23.5015473609702,-46.42073683949229,60,60
Itaquera,97,-23.5800148313619,-46.466651411457796,55,52
Marg.Tietê-Pte Remédios,270,-23.518705831012202,-46.7433200408467,27,59
Mauá,65,-23.6685489997822,-46.4660002742069,56,42
Mogi das Cruzes,287,-23.518172230148,-46.1868605711067,84,59
Mooca,85,-23.5497340450694,-46.60041664533689,42,55
N.Senhora do Ó,96,-23.480098705950397,-46.692051922128805,33,63
Osasco,120,-23.526721419003803,-46.7920776611899,22,58
Parque D.Pedro II,72,-23.544845658680803,-46.6276755923666,39,56
Pico do Jaraguá,284,-23.456268899747602,-46.766097759005795,25,65
Pinheiros,99,-23.5614598947311,-46.7020165084763,32,54
S.André Capuava,100,-23.6398036991568,-46.4916367657882,53,45
S.André-Centro,101,-23.6456163828539,-46.5363346692648,48,44
S.André-Paço Municipal,254,-23.6569941995448,-46.5309187564731,49,43
S.Bernardo-Centro,272,-23.698671086452197,-46.5462321867186,47,39
S.Bernardo-Paulicéia,102,-23.6713539571073,-46.58466788588571,43,42
S.Miguel Paulista,236,-23.4985264108007,-46.4448027795288,58,61
Santana,63,-23.505992722247502,-46.6289602999862,39,60
Santo Amaro,64,-23.654977229611397,-46.70999838176021,31,43
Santos,258,-23.963057204247498,-46.3211700936539,70,9
Santos-Ponta da Praia,260,-23.981295157364503,-46.3005095935412,72,7
São Caetano do Sul,86,-23.618442772969498,-46.5563539375078,46,47
Taboão da Serra,103,-23.6093238641752,-46.7582943678197,26,48
